UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
P04908	H2AC4; H2AC8	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	SUBCELLULAR LOCATION: Nucleus. Chromosome.	
P05000	IFNW1	Interferon omega-1 (Interferon alpha-II-1)	SUBCELLULAR LOCATION: Secreted.	
P05026	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34011520}; Single-pass type II membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:P07340}; Single-pass type II membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P14094}. Note=Colocalizes with OBSCN at the intercalated disk and sarcolemma in cardiomyocytes. Localizes in long striations at the level of Z and M lines. {ECO:0000250|UniProtKB:P14094}.	DOMAIN: The C-terminal lobe folds into an immunoglobulin-like domain and mediates cell adhesion properties. {ECO:0000250}.
P05067	APP	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10383380, ECO:0000269|PubMed:20580937, ECO:0000269|PubMed:2649245, ECO:0000305|PubMed:25122912}; Single-pass type I membrane protein {ECO:0000269|PubMed:30630874, ECO:0000305|PubMed:10383380, ECO:0000305|PubMed:25122912}. Membrane {ECO:0000269|PubMed:2900137, ECO:0000305|PubMed:22584060}; Single-pass type I membrane protein {ECO:0000269|PubMed:2900137, ECO:0000269|PubMed:30630874, ECO:0000305|PubMed:22584060}. Perikaryon {ECO:0000269|PubMed:10341243}. Cell projection, growth cone {ECO:0000269|PubMed:10341243}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:20580937}. Early endosome {ECO:0000269|PubMed:20580937}. Cytoplasmic vesicle {ECO:0000269|PubMed:20580937, ECO:0000269|PubMed:25122912}. Note=Cell surface protein that rapidly becomes internalized via clathrin-coated pits. Only a minor proportion is present at the cell membrane; most of the protein is present in intracellular vesicles (PubMed:20580937). During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body (PubMed:10341243). Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions. {ECO:0000269|PubMed:10341243, ECO:0000269|PubMed:20580937}.; SUBCELLULAR LOCATION: [C83]: Endoplasmic reticulum {ECO:0000269|PubMed:14527950}. Golgi apparatus {ECO:0000269|PubMed:14527950}. Early endosome {ECO:0000269|PubMed:14527950}.; SUBCELLULAR LOCATION: [C99]: Early endosome {ECO:0000269|PubMed:14527950}.; SUBCELLULAR LOCATION: [Soluble APP-beta]: Secreted {ECO:0000269|PubMed:10656250, ECO:0000269|PubMed:2649245}.; SUBCELLULAR LOCATION: [Amyloid-beta protein 40]: Cell surface {ECO:0000269|PubMed:16154999}.; SUBCELLULAR LOCATION: [Amyloid-beta protein 42]: Cell surface {ECO:0000269|PubMed:11689470, ECO:0000269|PubMed:16154999}. Note=Associates with FPR2 at the cell surface and the complex is then rapidly internalized. {ECO:0000269|PubMed:11689470}.; SUBCELLULAR LOCATION: [Gamma-secretase C-terminal fragment 59]: Nucleus {ECO:0000269|PubMed:11544248}. Cytoplasm {ECO:0000269|PubMed:11544248}. Note=Located to both the cytoplasm and nuclei of neurons. It can be translocated to the nucleus through association with APBB1 (Fe65) (PubMed:11544248). In dopaminergic neurons, the phosphorylated Thr-743 form is localized to the nucleus (By similarity). {ECO:0000250|UniProtKB:P12023, ECO:0000269|PubMed:11544248}.	DOMAIN: The transmembrane helix undergoes a conformation change and unravels partially when bound to PSEN1, facilitating cleavage by PSEN1. {ECO:0000269|PubMed:30630874}.; DOMAIN: The basolateral sorting signal (BaSS) is required for sorting of membrane proteins to the basolateral surface of epithelial cells. {ECO:0000269|PubMed:9843960}.; DOMAIN: The GFLD subdomain binds Cu(2+) ions; this promotes homodimerization. {ECO:0000269|PubMed:25122912}.; DOMAIN: The NPXY sequence motif found in many tyrosine-phosphorylated proteins is required for the specific binding of the PID domain. However, additional amino acids either N- or C-terminal to the NPXY motif are often required for complete interaction. The PID domain-containing proteins which bind APP require the YENPTY motif for full interaction. These interactions are independent of phosphorylation on the terminal tyrosine residue. The YENPXY site is also involved in clathrin-mediated endocytosis. {ECO:0000269|PubMed:10383380}.; DOMAIN: The C-terminal region can bind zinc ions; this favors dimerization and formation of higher oligomers. {ECO:0000269|PubMed:26898943, ECO:0000269|PubMed:28570778}.; DOMAIN: The OX-2 motif shows some similarity to a region in the N-terminus of CD200/MOX2. {ECO:0000269|PubMed:2649245}.
P05091	ALDH2	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	SUBCELLULAR LOCATION: Mitochondrion matrix.	
P05093	CYP17A1	Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (17-alpha-hydroxyprogesterone aldolase) (EC 1.14.14.32) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17) (Steroid 17-alpha-monooxygenase)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:2808364}. Microsome membrane {ECO:0000305|PubMed:2808364}.	
P05107	ITGB2	Integrin beta-2 (Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta) (Complement receptor C3 subunit beta) (CD antigen CD18)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21193407, ECO:0000269|PubMed:28807980}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:21193407}; Single-pass type I membrane protein {ECO:0000305}.	DOMAIN: The VWFA domain (or beta I domain) contains three cation-binding sites: the ligand-associated metal ion-binding site (LIMBS or SyMBS), the metal ion-dependent adhesion site (MIDAS), and the adjacent MIDAS site (ADMIDAS). This domain is also part of the ligand-binding site. {ECO:0000269|PubMed:24385486}.
P05108	CYP11A1	Cholesterol side-chain cleavage enzyme, mitochondrial (EC 1.14.15.6) (CYPXIA1) (Cholesterol desmolase) (Cytochrome P450 11A1) (Cytochrome P450(scc))	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P14137}; Peripheral membrane protein {ECO:0000305}. Note=Localizes to the matrix side of the mitochondrion inner membrane. {ECO:0000250|UniProtKB:P14137}.	
P05112	IL4	Interleukin-4 (IL-4) (B-cell stimulatory factor 1) (BSF-1) (Binetrakin) (Lymphocyte stimulatory factor 1) (Pitrakinra)	SUBCELLULAR LOCATION: Secreted.	
P05155	SERPING1	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:3756141, ECO:0000269|PubMed:6416294}.	
P05198	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha)	SUBCELLULAR LOCATION: Cytoplasm, Stress granule {ECO:0000250|UniProtKB:Q6ZWX6}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P56286}. Mitochondrion {ECO:0000269|PubMed:38340717}. Note=Colocalizes with NANOS3 in the stress granules (By similarity). Relocalizes to the surface of mitochondria in response to mitochondrial damage and phosphorylation by EIF2AK1/HRI (PubMed:38340717). {ECO:0000250|UniProtKB:Q6ZWX6, ECO:0000269|PubMed:38340717}.	
P05230	FGF1	Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1)	SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cytoplasm, cell cortex. Cytoplasm, cytosol. Nucleus. Note=Lacks a cleavable signal sequence. Within the cytoplasm, it is transported to the cell membrane and then secreted by a non-classical pathway that requires Cu(2+) ions and S100A13. Secreted in a complex with SYT1 (By similarity). Binding of exogenous FGF1 to FGFR facilitates endocytosis followed by translocation of FGF1 across endosomal membrane into the cytosol. Nuclear import from the cytosol requires the classical nuclear import machinery, involving proteins KPNA1 and KPNB1, as well as LRRC59. {ECO:0000250}.	
P05231	IL6	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11080265}.	
P05305	EDN1	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	SUBCELLULAR LOCATION: Secreted.	
P05362	ICAM1	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	
P05413	FABP3	Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI) (Muscle fatty acid-binding protein) (M-FABP)	SUBCELLULAR LOCATION: Cytoplasm.	DOMAIN: Forms a beta-barrel structure that accommodates the hydrophobic ligand in its interior.
P05496	ATP5MC1	ATP synthase F(0) complex subunit C1, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 1) (ATP synthase proteolipid P1) (ATP synthase proton-transporting mitochondrial F(0) complex subunit C1) (ATPase protein 9) (ATPase subunit c) (Proton-conducting channel, ATP synthase F(0) complex subunit c)	SUBCELLULAR LOCATION: Mitochondrion membrane; Multi-pass membrane protein.	
P05814	CSN2	Beta-casein	SUBCELLULAR LOCATION: Secreted.	
P05981	HPN	Serine protease hepsin (EC 3.4.21.106) (Transmembrane protease serine 1) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1885621}; Single-pass type II membrane protein {ECO:0000269|PubMed:1885621}. Apical cell membrane {ECO:0000269|PubMed:26673890}; Single-pass type II membrane protein {ECO:0000305}.	
P06239	LCK	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12218089, ECO:0000269|PubMed:22034844}; Lipid-anchor {ECO:0000269|PubMed:12218089, ECO:0000269|PubMed:22034844}; Cytoplasmic side {ECO:0000269|PubMed:12218089, ECO:0000269|PubMed:22034844}. Cytoplasm, cytosol {ECO:0000269|PubMed:12218089, ECO:0000269|PubMed:22034844}. Note=Present in lipid rafts in an inactive form. {ECO:0000269|PubMed:12218089}.	DOMAIN: The SH2 domain mediates interaction with SQSTM1. Interaction is regulated by Ser-59 phosphorylation.
P06280	GLA	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (Melibiase) (Agalsidase)	SUBCELLULAR LOCATION: Lysosome.	
P06307	CCK	Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-58 (CCK58); Cholecystokinin-58 desnonopeptide ((1-49)-CCK58); Cholecystokinin-39 (CCK39); Cholecystokinin-33 (CCK33); Cholecystokinin-25 (CCK25); Cholecystokinin-18 (CCK18); Cholecystokinin-12 (CCK12); Cholecystokinin-8 (CCK8); Cholecystokinin-7 (CCK7); Cholecystokinin-5 (CCK5)]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:37453717}.	
P06340	HLA-DOA	HLA class II histocompatibility antigen, DO alpha chain (MHC DN-alpha) (MHC DZ alpha) (MHC class II antigen DOA)	SUBCELLULAR LOCATION: Endosome membrane; Single-pass type I membrane protein. Lysosome membrane; Single-pass type I membrane protein. Note=Complexes with HLA-DM molecule during intracellular transport and in endosomal/lysosomal compartments. Heterotetramerization is necessary to exit the ER.	
P06396	GSN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytoskeleton.; SUBCELLULAR LOCATION: [Isoform 1]: Secreted.	DOMAIN: Comprises six structurally related gelsolin-like (G1-G6) domains, that, in a calcium-free environment, are packed together to form a compact globular structure in which the putative actin-binding sequences are not sufficiently exposed to enable binding to occur (PubMed:19666512). Binding calcium may release the connections that join the N- and C-terminal halves of gelsolin, enabling each half to bind actin relatively independently (PubMed:12460571, PubMed:19666512). G1 and G4 bind two Ca(2+) in a type I and in a type II manner (PubMed:12460571, PubMed:19666512). G2, G3, G5 and G6 bind only one Ca(2+) in a type II manner (PubMed:12460571, PubMed:19666512). Type I Ca(2+) binding sites are shared between actin and gelsolin-like repeats G1 and G4 (PubMed:12460571, PubMed:19666512). Type I binding governs the strength of interactions between gelsolin and actin by direct participation at the binding interface (PubMed:12460571, PubMed:19666512). Ca(2+) binding to G2 and G6 disrupts the interactions between G2 and G6, releases the C-terminal tail, and induces large interdomain rearrangements that result in the exposure of the F-actin-binding site on G2 and contributes to the activation of gelsolin (PubMed:12460571, PubMed:19666512). Binding to phosphoinositides may inhibit the severing and capping properties of gelsolin (Probable). {ECO:0000269|PubMed:12460571, ECO:0000269|PubMed:19666512, ECO:0000305|PubMed:8599675}.
P06576	ATP5F1B	ATP synthase F(1) complex subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:25168243}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00829}; Matrix side {ECO:0000250|UniProtKB:P00829, ECO:0000269|PubMed:25168243}.	
P06681	C2	Complement C2 (C3/C5 convertase) [Cleaved into: Complement C2a; Serine protease complement C2b (EC 3.4.21.43)]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:8621452}. Cell surface {ECO:0000269|PubMed:6602833}. Note=Recruited to the surface of pathogens by complement C3b and complement C4b opsonins. {ECO:0000269|PubMed:6602833}.	DOMAIN: The MIDAS-like motif in the VWFA domain binds divalent metal cations. {ECO:0000269|PubMed:17027507}.
P06729	CD2	T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23006327, ECO:0000269|PubMed:2437578}; Single-pass type I membrane protein {ECO:0000305}.	
P06731	CEACAM5	Cell adhesion molecule CEACAM5 (Carcinoembryonic antigen) (CEA) (Carcinoembryonic antigen-related cell adhesion molecule 5) (CEA cell adhesion molecule 5) (Meconium antigen 100) (CD antigen CD66e)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10864933, ECO:0000269|PubMed:18086185, ECO:0000269|PubMed:2317824}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:10864933, ECO:0000269|PubMed:18086185, ECO:0000269|PubMed:2317824}. Apical cell membrane {ECO:0000269|PubMed:10436421}. Cell surface {ECO:0000269|PubMed:2317824, ECO:0000269|PubMed:2803308}. Note=Localized to the apical glycocalyx surface. {ECO:0000269|PubMed:10436421}.	
P06733	ENO1	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10802057}. Cell membrane {ECO:0000269|PubMed:10802057}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:10802057}. Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. ENO1 is localized to the M line.; SUBCELLULAR LOCATION: [Isoform MBP-1]: Nucleus.	
P06748	NPM1	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:19208757, ECO:0000269|PubMed:22528486, ECO:0000269|PubMed:25818168, ECO:0000269|PubMed:25956029}. Nucleus, nucleoplasm {ECO:0000269|PubMed:25818168}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Note=Generally nucleolar, but is translocated to the nucleoplasm in case of serum starvation or treatment with anticancer drugs. Has been found in the cytoplasm in patients with primary acute myelogenous leukemia (AML), but not with secondary AML. Co-localizes with the methylated form of RPS10 in the granular component (GC) region of the nucleolus. Colocalized with nucleolin and APEX1 in nucleoli. Isoform 1 of NEK2 is required for its localization to the centrosome during mitosis. Can shuttle between cytoplasm and nucleus (PubMed:38231884). {ECO:0000269|PubMed:38231884}.	
P06756	ITGAV	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881}.	
P06850	CRH	Corticoliberin (Corticotropin-releasing factor) (CRF) (Corticotropin-releasing hormone)	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P06296}.	
P06858	LPL	Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P11151}; Peripheral membrane protein {ECO:0000250|UniProtKB:P11151}; Extracellular side {ECO:0000250|UniProtKB:P11151}. Secreted {ECO:0000269|PubMed:11342582, ECO:0000269|PubMed:11893776, ECO:0000269|PubMed:12641539, ECO:0000269|PubMed:1371284, ECO:0000269|PubMed:2340307, ECO:0000269|PubMed:24291057, ECO:0000269|PubMed:27578112, ECO:0000269|PubMed:30559189}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:27811232}. Note=Newly synthesized LPL binds to cell surface heparan proteoglycans and is then released by heparanase. Subsequently, it becomes attached to heparan proteoglycan on endothelial cells (PubMed:27811232). Locates to the plasma membrane of microvilli of hepatocytes with triglyceride-rich lipoproteins (TRL). Some of the bound LPL is then internalized and located inside non-coated endocytic vesicles (By similarity). {ECO:0000250|UniProtKB:P11151, ECO:0000269|PubMed:27811232}.	
P06865	HEXA	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	SUBCELLULAR LOCATION: Lysosome.	
P06870	KLK1	Kallikrein-1 (EC 3.4.21.35) (Kidney/pancreas/salivary gland kallikrein) (Tissue kallikrein)		
P07099	EPHX1	Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase) (mEH)	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:24958911}; Single-pass type III membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P07687}; Single-pass type III membrane protein {ECO:0000250|UniProtKB:P07687}.	
P07148	FABP1	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)	SUBCELLULAR LOCATION: Cytoplasm.	DOMAIN: Forms a beta-barrel structure that accommodates hydrophobic ligands in its interior.
P07195	LDHB	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion inner membrane {ECO:0000269|PubMed:27618187}; Peripheral membrane protein {ECO:0000305}.	
P07203	GPX1	Glutathione peroxidase 1 (GPx-1) (GSHPx-1) (EC 1.11.1.9) (Cellular glutathione peroxidase) (Phospholipid-hydroperoxide glutathione peroxidase GPX1) (EC 1.11.1.12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P11352}. Mitochondrion {ECO:0000250|UniProtKB:P11352}.	
P07205	PGK2	Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	
P07225	PROS1	Vitamin K-dependent protein S	SUBCELLULAR LOCATION: Secreted.	
P07237	P4HB	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:23475612, ECO:0000269|PubMed:32149426}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:23475612}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cell membrane {ECO:0000269|PubMed:21670307}; Peripheral membrane protein {ECO:0000305}. Note=Highly abundant. In some cell types, seems to be also secreted or associated with the plasma membrane, where it undergoes constant shedding and replacement from intracellular sources (Probable). Localizes near CD4-enriched regions on lymphoid cell surfaces (PubMed:11181151). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:10636893). Colocalizes with MTTP in the endoplasmic reticulum (PubMed:23475612). {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:11181151, ECO:0000269|PubMed:23475612, ECO:0000305}.	
P07288	KLK3	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)	SUBCELLULAR LOCATION: Secreted.	
P07306	ASGR1	Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1)	SUBCELLULAR LOCATION: [Isoform H1a]: Membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform H1b]: Secreted {ECO:0000269|PubMed:20886072}.	
P07315	CRYGC	Gamma-crystallin C (Gamma-C-crystallin) (Gamma-crystallin 2-1) (Gamma-crystallin 3)		DOMAIN: Has a two-domain beta-structure, folded into four very similar Greek key motifs.
P07320	CRYGD	Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 4)		DOMAIN: Has a two-domain beta-structure, folded into four very similar Greek key motifs.
P07339	CTSD	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	SUBCELLULAR LOCATION: Lysosome. Melanosome. Secreted, extracellular space. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. In aortic samples, detected as an extracellular protein loosely bound to the matrix (PubMed:20551380). {ECO:0000269|PubMed:20551380}.	
P07355	ANXA2	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=In the lamina beneath the plasma membrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.	DOMAIN: A pair of annexin repeats may form one binding site for calcium and phospholipid.
P07358	C8B	Complement component C8 beta chain (Complement component 8 subunit beta)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2820472, ECO:0000269|PubMed:7440581}. Target cell membrane {ECO:0000269|PubMed:30552328, ECO:0000269|PubMed:31061395}; Multi-pass membrane protein {ECO:0000269|PubMed:30552328}. Note=Secreted as soluble protein (PubMed:30552328). Inserts into the cell membrane of target cells (PubMed:30552328, PubMed:31061395). {ECO:0000269|PubMed:30552328, ECO:0000269|PubMed:31061395}.	
P07437	TUBB	Tubulin beta chain (Tubulin beta-5 chain)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:26637975}.	DOMAIN: The highly acidic C-terminal region may bind cations such as calcium.; DOMAIN: The MREI motif is common among all beta-tubulin isoforms and may be critical for tubulin autoregulation. {ECO:0000269|PubMed:31727855}.
P07451	CA3	Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18618712}.	
P07478	PRSS2	Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II)	SUBCELLULAR LOCATION: Secreted, extracellular space.	
P07510	CHRNG	Acetylcholine receptor subunit gamma	SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.	
P07550	ADRB2	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19584355, ECO:0000269|PubMed:20559325, ECO:0000269|PubMed:23166351, ECO:0000269|PubMed:25220262, ECO:0000269|PubMed:2831218, ECO:0000269|PubMed:7915137}; Multi-pass membrane protein {ECO:0000269|PubMed:19584355}. Early endosome {ECO:0000269|PubMed:20559325}. Golgi apparatus {ECO:0000269|PubMed:27481942}. Note=Colocalizes with VHL at the cell membrane (PubMed:19584355). Activated receptors are internalized into endosomes prior to their degradation in lysosomes (PubMed:20559325). Activated receptors are also detected within the Golgi apparatus (PubMed:27481942). {ECO:0000269|PubMed:19584355, ECO:0000269|PubMed:20559325, ECO:0000269|PubMed:27481942}.	
P07585	DCN	Decorin (Bone proteoglycan II) (PG-S2) (PG40)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix. Secreted {ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}.	
P07738	BPGM	Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)		
